MP_CODE,MP_NAME,Population
160001,Kliprand,205
160002,Matzikama ,23881
160003,Rietpoort,970
160004,Bitterfontein,986
160005,Nuwerus,650
160006,Koekenaap,1551
160007,Lutzville,5232
160008,Ebenheaser,1305
160009,Vanrhynsdorp,6272
160010,Vredendal,18170
160011,Strandfontein,431
160012,Klawer,6234
160013,Doringbaai,1260
161001,Lamberts Bay,6120
161002,Cederberg ,24713
161003,Graafwater,2261
161004,Clanwilliam,7674
161005,Leipoldtville,298
161006,Elands Bay,1525
161007,Citrusdal,7177
162001,Redelinghuys,574
162002,Bergrivier ,24497
162003,Eendekuil,1530
162004,Dwarskersbos,670
162005,Aurora,578
162006,Velddrif,11017
162007,Goedverwacht,1979
162008,Beaverlac,59
162009,Piketberg,12075
162010,De Hoek,330
162011,Wittewater,848
162012,Porterville,7057
162013,De Lust,684
163001,St Helena Bay,11529
163002,Saldanha Bay ,2962
163003,Paternoster,1971
163004,Vredenburg,38382
163005,Swartriet,82
163006,Jacobs Bay,416
163007,Langebaanweg,952
163008,Saldanha,28142
163009,Marcus Island,-
163010,Hopefield,6460
163011,Malgaseiland,-
163012,Langebaan,8297
163013,Jutteneiland,-
163014,Meeueiland,-
163015,Skaapeliland,-
163016,Klein Eiland,-
163017,Vondelingeiland,-
164001,Koringberg,1214
164002,Swartland ,32258
164003,Klipfontyn,146
164004,Moorreesburg,7760
164005,Rosenhof,5117
164006,Riebeek West Mine,255
164007,Yzerfontein,1140
164008,Riebeek West,4350
164009,Nuwedorp,9347
164010,Darling,1073
164011,Riebeek-Kasteel,1144
164012,Esterhof,3617
164013,Dassen Island,-
164014,Mount Royal Golf & Country Estate,66
164015,Wesbank,11861
164016,Malmesbury,10299
164017,Ilinge Lethu,13671
164018,Abbotsdale,3762
164019,Grotto Bay,220
164020,Greater Chatsworth,1726
164021,Chatsworth,2326
164022,Kalbaskraal,2411
165001,Witzenberg ,52200
165002,Op-die-berg,1531
165003,Meulstroom,1084
165004,Tulbagh,8969
165005,Prince Alfred Hamlet,6810
165006,Bella Vista,13460
165007,Ceres,10413
